Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16792760201700000001P;FA051937;PAGO CONFIRMADO;104,53;0;05/06/2017;13/06/2017;104.53;07/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16929463201700001866P;FA051932;PAGO CONFIRMADO;271,29;0;05/06/2017;13/06/2017;271.29;07/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16929463201700001904P;FA051952;PAGO CONFIRMADO;90,43;0;05/06/2017;13/06/2017;90.43;07/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16929463201700001891P;FA051950;PAGO CONFIRMADO;90,43;0;05/06/2017;13/06/2017;90.43;07/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16913572201700000152P;FA051882;PAGO CONFIRMADO;904,34;0;05/06/2017;13/06/2017;904.34;07/06/2017;ARCSA;05/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927243201600000259P;FA051873;PAGO CONFIRMADO;904,34;0;05/06/2017;13/06/2017;904.34;07/06/2017;ARCSA;07/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16006006201700000002P;FA051868;PAGO CONFIRMADO;34,03;0;05/06/2017;13/06/2017;34.03;07/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928766201700000058P;FA051851;PAGO CONFIRMADO;90,43;0;05/06/2017;13/06/2017;90.43;07/06/2017;ARCSA;05/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928038201600000199P;FA051863;PAGO CONFIRMADO;2258,41;0;05/06/2017;13/06/2017;2258.41;07/06/2017;ARCSA;05/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16931111201700000020P;FA051790;PAGO CONFIRMADO;904,34;0;02/06/2017;10/06/2017;904.34;07/06/2017;ARCSA;02/06/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
