Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16009857201700000015P;FA051136;PAGO CONFIRMADO;39.57;0;29/05/2017;06/06/2017;39.57;30/05/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16787886201600000027P;FA051133;PAGO CONFIRMADO;904.34;0;29/05/2017;06/06/2017;904.34;30/05/2017;ARCSA;29/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16929002201700000053P;FA051112;PAGO CONFIRMADO;142.94;0;29/05/2017;06/06/2017;142.94;30/05/2017;ARCSA;29/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16010222201700000006P;FA051013;PAGO CONFIRMADO;104.53;0;25/05/2017;02/06/2017;104.53;30/05/2017;ARCSA;25/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16911420201700000027P;FA051010;PAGO CONFIRMADO;340.34;0;25/05/2017;02/06/2017;340.34;30/05/2017;ARCSA;25/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16911420201700000026P;FA051009;PAGO CONFIRMADO;340.34;0;25/05/2017;02/06/2017;340.34;30/05/2017;ARCSA;25/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16920193201700000004P;FA051029;PAGO CONFIRMADO;96.09;0;25/05/2017;02/06/2017;96.09;30/05/2017;ARCSA;25/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16778093201700000013P;FA051007;PAGO CONFIRMADO;340.34;0;25/05/2017;02/06/2017;340.34;30/05/2017;ARCSA;29/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16778093201700000012P;FA051006;PAGO CONFIRMADO;340.34;0;25/05/2017;02/06/2017;340.34;30/05/2017;ARCSA;29/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16910119201700000743P;FA051026;PAGO CONFIRMADO;361.72;0;25/05/2017;02/06/2017;361.72;30/05/2017;ARCSA;25/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16910119201700000742P;FA051025;PAGO CONFIRMADO;361.72;0;25/05/2017;02/06/2017;361.72;30/05/2017;ARCSA;25/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16929111201700000121P;FA051003;PAGO CONFIRMADO;904.34;0;25/05/2017;02/06/2017;904.34;30/05/2017;ARCSA;29/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16931310201700000104P;FA050999;PAGO CONFIRMADO;271.29;0;25/05/2017;02/06/2017;271.29;30/05/2017;ARCSA;25/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928386201700000922P;FA050980;PAGO CONFIRMADO;180.86;0;25/05/2017;02/06/2017;180.86;30/05/2017;ARCSA;25/05/2017;BANCO DEL PACIFICO;DINERO ELECTRONICO;LIQUIDACION POR SOLICITUD VUE
16928386201700000935P;FA050998;PAGO CONFIRMADO;271.29;0;25/05/2017;02/06/2017;271.29;30/05/2017;ARCSA;25/05/2017;BANCO DEL PACIFICO;DINERO ELECTRONICO;LIQUIDACION POR SOLICITUD VUE
16928386201700000929P;FA050979;PAGO CONFIRMADO;271.29;0;25/05/2017;02/06/2017;271.29;30/05/2017;ARCSA;25/05/2017;BANCO DEL PACIFICO;DINERO ELECTRONICO;LIQUIDACION POR SOLICITUD VUE
16928386201700000934P;FA050996;PAGO CONFIRMADO;90.43;0;25/05/2017;02/06/2017;90.43;30/05/2017;ARCSA;25/05/2017;BANCO DEL PACIFICO;DINERO ELECTRONICO;LIQUIDACION POR SOLICITUD VUE
16911264201600000234P;FA050992;PAGO CONFIRMADO;510.51;0;25/05/2017;02/06/2017;510.51;30/05/2017;ARCSA;25/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16930585201700000065P;FA050985;PAGO CONFIRMADO;90.44;0;25/05/2017;02/06/2017;90.44;30/05/2017;ARCSA;25/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16787886201600000010P;FA050982;PAGO CONFIRMADO;904.34;0;25/05/2017;02/06/2017;904.34;30/05/2017;ARCSA;29/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16930516201700000018P;FA050968;PAGO CONFIRMADO;904.34;0;25/05/2017;02/06/2017;904.34;30/05/2017;ARCSA;25/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16794082201700000006P;FA050967;PAGO CONFIRMADO;340.34;0;25/05/2017;02/06/2017;340.34;30/05/2017;ARCSA;25/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16005056201700000006P;FA050966;PAGO CONFIRMADO;197.82;0;25/05/2017;02/06/2017;197.82;30/05/2017;ARCSA;25/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
