Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16794100201700000001P;FA051642;PAGO CONFIRMADO;104,53;0;02/06/2017;10/06/2017;104.53;06/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16932829201700000008P;FA051614;PAGO CONFIRMADO;904,34;0;01/06/2017;09/06/2017;904.34;06/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16793245201700000003P;FA051601;PAGO CONFIRMADO;68,06;0;01/06/2017;09/06/2017;68.06;06/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16793892201700000001P;FA051593;PAGO CONFIRMADO;96,09;0;01/06/2017;09/06/2017;96.09;06/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16781664201600000024P;FA051606;PAGO CONFIRMADO;2258,41;0;01/06/2017;09/06/2017;2258.41;06/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16789522201700000004P;FA051577;PAGO CONFIRMADO;96,09;0;01/06/2017;09/06/2017;96.09;06/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16910177201700000052P;FA051584;PAGO CONFIRMADO;904,34;0;01/06/2017;09/06/2017;904.34;06/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16910177201700000051P;FA051576;PAGO CONFIRMADO;904,34;0;01/06/2017;09/06/2017;904.34;06/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16785185201700000047P;FA051540;PAGO CONFIRMADO;58,34;0;01/06/2017;09/06/2017;58.34;06/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16929186201700000006P;FA051568;PAGO CONFIRMADO;58,34;0;01/06/2017;09/06/2017;58.34;06/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
