Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16791381201700000005P;FA051528;PAGO CONFIRMADO;90.43;0;01/06/2017;09/06/2017;90.43;05/06/2017;ARCSA;03/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16913572201700000138P;FA051542;PAGO CONFIRMADO;904.34;0;01/06/2017;09/06/2017;904.34;05/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16791381201700000007P;FA051525;PAGO CONFIRMADO;90.43;0;01/06/2017;09/06/2017;90.43;05/06/2017;ARCSA;03/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16913572201700000137P;FA051501;PAGO CONFIRMADO;904.34;0;01/06/2017;09/06/2017;904.34;05/06/2017;ARCSA;05/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16937764201700000010P;FA051498;PAGO CONFIRMADO;395.65;0;01/06/2017;09/06/2017;395.65;05/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16010326201700000015P;FA051524;PAGO CONFIRMADO;34.03;0;01/06/2017;09/06/2017;34.03;03/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16934938201700000011P;FA051516;PAGO CONFIRMADO;10.45;0;01/06/2017;09/06/2017;10.45;05/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16914196201700000068P;FA051514;PAGO CONFIRMADO;904.34;0;01/06/2017;09/06/2017;904.34;05/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16791381201700000006P;FA051490;PAGO CONFIRMADO;90.43;0;01/06/2017;09/06/2017;90.43;05/06/2017;ARCSA;03/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16914196201700000066P;FA051457;PAGO CONFIRMADO;904.34;0;31/05/2017;08/06/2017;904.34;05/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16785497201600000002P;FA051456;PAGO CONFIRMADO;904.34;0;31/05/2017;08/06/2017;904.34;05/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16913572201700000148P;FA051454;PAGO CONFIRMADO;904.34;0;31/05/2017;08/06/2017;904.34;05/06/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927355201700000097P;FA051473;PAGO CONFIRMADO;904.34;0;31/05/2017;08/06/2017;904.34;05/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;DINERO ELECTRONICO;LIQUIDACION POR SOLICITUD VUE
16913572201700000146P;FA051470;PAGO CONFIRMADO;904.34;0;31/05/2017;08/06/2017;904.34;05/06/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16780068201700000012P;FA051468;PAGO CONFIRMADO;904.34;0;31/05/2017;08/06/2017;904.34;05/06/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927262201700000687P;FA051467;PAGO CONFIRMADO;90.43;0;31/05/2017;08/06/2017;90.43;05/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927262201700000686P;FA051451;PAGO CONFIRMADO;90.43;0;31/05/2017;08/06/2017;90.43;05/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16913572201700000151P;FA051450;PAGO CONFIRMADO;904.34;0;31/05/2017;08/06/2017;904.34;05/06/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927262201700000685P;FA051448;PAGO CONFIRMADO;180.86;0;31/05/2017;08/06/2017;180.86;05/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927262201700000684P;FA051446;PAGO CONFIRMADO;90.43;0;31/05/2017;08/06/2017;90.43;05/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16792309201700000038P;FA051441;PAGO CONFIRMADO;904.34;0;31/05/2017;08/06/2017;904.34;05/06/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16934938201700000012P;FA051439;PAGO CONFIRMADO;20.9;0;31/05/2017;08/06/2017;20.9;05/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16786153201700000008P;FA051432;PAGO CONFIRMADO;90.43;0;31/05/2017;08/06/2017;90.43;05/06/2017;ARCSA;05/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16794056201700000007P;FA051430;PAGO CONFIRMADO;96.09;0;31/05/2017;08/06/2017;96.09;05/06/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16910208201700000024P;FA051423;PAGO CONFIRMADO;451.68;0;31/05/2017;08/06/2017;451.68;05/06/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16910127201700000053P;FA051359;PAGO CONFIRMADO;71.47;0;31/05/2017;08/06/2017;71.47;05/06/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16931567201700000189P;FA051348;PAGO CONFIRMADO;904.34;0;30/05/2017;07/06/2017;904.34;05/06/2017;ARCSA;05/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16934938201700000010P;FA051319;PAGO CONFIRMADO;10.45;0;30/05/2017;07/06/2017;10.45;05/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16914196201700000065P;FA051293;PAGO CONFIRMADO;904.34;0;30/05/2017;07/06/2017;904.34;05/06/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16914196201600000103P;FA051263;PAGO CONFIRMADO;904.34;0;30/05/2017;07/06/2017;904.34;05/06/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16785358201600000008P;FA051211;PAGO CONFIRMADO;2258.41;0;29/05/2017;06/06/2017;2258.41;05/06/2017;ARCSA;29/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927262201700000740P;FA051174;PAGO CONFIRMADO;90.43;0;29/05/2017;06/06/2017;90.43;05/06/2017;ARCSA;29/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16913572201700000130P;FA051128;PAGO CONFIRMADO;904.34;0;29/05/2017;06/06/2017;904.34;05/06/2017;ARCSA;29/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16932111201700000023P;FA051108;PAGO CONFIRMADO;395.65;0;29/05/2017;06/06/2017;395.65;05/06/2017;ARCSA;29/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16932111201700000022P;FA051124;PAGO CONFIRMADO;395.65;0;29/05/2017;06/06/2017;395.65;05/06/2017;ARCSA;29/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16910177201700000050P;FA051106;PAGO CONFIRMADO;904.34;0;29/05/2017;06/06/2017;904.34;05/06/2017;ARCSA;29/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16910177201700000049P;FA051122;PAGO CONFIRMADO;904.34;0;29/05/2017;06/06/2017;904.34;05/06/2017;ARCSA;29/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16792791201700000027P;FA050686;PAGO CONFIRMADO;904.34;0;22/05/2017;30/05/2017;904.34;05/06/2017;ARCSA;30/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927662201700000049P;FA050346;PAGO CONFIRMADO;225.84;0;18/05/2017;26/05/2017;225.84;05/06/2017;ARCSA;18/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927662201700000043P;FA050339;PAGO CONFIRMADO;225.84;0;18/05/2017;26/05/2017;225.84;05/06/2017;ARCSA;18/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
